SIRUTA,F1,F2,F3
36756,-0.114,-0.979,0.807
36809,-0.094,-0.311,0.134
36907,-0.056,-0.147,0.046
36952,-0.067,-0.191,-0.005
37011,-0.059,-0.179,-0.016
37057,-0.059,-0.189,0.002
37100,-0.057,-0.184,0.012
37173,-0.054,-0.159,-0.084
37217,-0.063,-0.196,-0.003
37280,-0.033,-0.058,0.305
37324,-0.065,-0.333,-0.136
37397,-0.057,-0.189,-0.024
37459,-0.058,-0.170,0.032
37547,-0.059,-0.281,-0.154
37618,-0.063,-0.187,0.013
37672,-0.012,0.018,-0.064
37734,-0.062,-0.186,0.004
37770,-0.051,-0.128,-0.138
37823,-0.062,-0.195,-0.012
37850,-0.061,-0.185,-0.011
37912,-0.055,-0.128,-0.029
37958,-0.066,-0.186,0.010
38063,0.066,0.588,0.174
38161,-0.061,-0.169,0.007
38241,-0.061,-0.188,-0.009
38321,-0.061,-0.184,-0.004
38376,-0.061,-0.190,-0.017
38456,-0.060,-0.186,0.001
38492,-0.057,-0.186,-0.045
38544,-0.050,-0.205,-0.073
38580,-0.055,-0.178,-0.026
38633,-0.063,-0.196,0.002
38679,-0.061,-0.199,-0.051
38731,-0.063,-0.205,-0.009
38811,-0.004,0.196,-0.101
38848,-0.065,-0.205,-0.008
38893,-0.061,-0.188,0.005
38982,-0.053,-0.346,-0.060
39051,-0.043,-0.093,0.012
39122,-0.060,-0.179,0.022
39168,-0.064,-0.218,0.014
39220,-0.055,-0.166,0.048
39266,-0.059,-0.166,-0.025
39328,-0.057,-0.133,-0.075
39391,-0.042,-0.106,0.142
39417,-0.061,-0.174,-0.031
39532,-0.061,-0.192,-0.003
39612,-0.061,-0.185,-0.003
39658,-0.056,-0.182,-0.023
39694,-0.060,-0.155,0.003
39738,-0.062,-0.294,-0.077
39792,-0.081,-0.296,-0.038
39836,-0.050,-0.119,0.163
39872,-0.062,-0.202,-0.001
39942,-0.061,-0.156,-0.042
39967,-0.061,-0.187,0.012
39975,-0.084,-0.320,-0.136
39983,-0.058,-0.168,-0.023
40035,-0.060,-0.184,0.001
40198,3.910,11.923,-2.124
40214,0.178,-0.295,0.475
40241,0.333,2.807,-1.503
40278,0.114,0.628,0.423
40303,-0.051,-0.070,0.429
40367,-0.124,-0.792,-0.665
40394,0.031,0.052,-1.239
40438,0.134,0.930,-0.240
40465,-0.055,-0.851,-0.968
40492,0.133,3.070,-2.467
40526,-0.053,-0.131,-0.030
40544,-0.040,-0.071,0.034
40606,-0.027,0.034,-0.727
40633,-0.127,-0.565,0.266
40688,-0.237,-0.647,0.528
40704,-0.061,-0.182,-0.003
40768,-0.041,-0.048,0.199
40820,-0.046,-0.142,-0.097
40857,-0.048,-0.154,-0.106
40900,0.253,2.532,-0.717
40928,-0.049,-0.087,-0.054
40955,-0.119,-0.895,0.298
40991,-0.066,-0.195,0.115
41033,0.174,0.802,-3.577
41088,0.209,0.453,-1.742
41113,-0.021,-0.125,-0.663
41177,-0.063,-0.053,-0.042
41248,-0.053,-0.065,0.194
41284,-0.057,-0.174,0.008
41346,-0.055,-0.169,-0.032
41382,-0.043,-0.073,-0.058
41417,-0.109,-0.473,-0.228
41471,-0.250,-0.877,0.015
41541,-0.062,-0.164,0.070
41578,-0.056,-0.167,-0.000
41621,-0.089,-0.363,-0.071
41667,0.276,1.776,2.869
41701,-0.079,-0.281,0.156
41738,-0.049,-0.131,-0.172
41818,-0.041,0.414,-0.337
41854,-0.044,-0.083,-0.015
41925,0.017,0.390,-1.217
41943,-0.054,-0.238,0.106
42003,0.076,0.662,0.072
42058,-0.045,-0.117,-0.152
42076,-0.046,-0.184,-0.043
42101,-0.071,-0.433,0.034
42156,-0.061,-0.190,-0.007
42183,0.023,0.219,-0.471
42236,-0.042,-0.084,-0.014
42307,-0.051,-0.189,0.018
42398,-0.029,0.066,-0.068
42449,-0.056,-0.166,-0.011
42456,-0.072,-0.181,0.021
42464,-0.043,0.088,0.063
42472,-0.061,-0.191,-0.004
42480,-0.080,-0.024,-0.134
42498,-0.061,-0.193,-0.003
42682,1.328,4.078,11.679
42708,-0.071,-0.063,-0.222
42753,-0.065,-0.248,0.246
42771,-0.066,-0.193,0.021
42824,-0.064,-0.187,-0.002
42842,-0.060,-0.203,0.003
42913,-0.067,-0.192,0.025
42968,-0.061,-0.184,0.033
43019,-0.051,-0.127,-0.001
43073,-0.065,-0.157,-0.046
43117,-0.061,-0.195,-0.031
43180,-0.046,-0.112,-0.022
43242,-0.058,-0.140,0.058
43279,-0.052,-0.162,-0.043
43313,-0.063,-0.140,-0.063
43331,-0.094,-0.541,-0.051
43411,-0.048,-0.051,-0.171
43466,-0.065,-0.193,-0.016
43493,-0.059,-0.183,0.006
43563,-0.091,-0.123,-0.446
43625,-0.067,-0.222,0.082
43652,-0.066,-0.225,-0.003
43698,-0.061,-0.193,0.000
43732,-0.066,-0.199,0.012
43787,-0.067,-0.181,-0.001
43812,-0.065,-0.203,0.023
43867,-0.067,-0.194,-0.008
43929,-0.057,-0.130,-0.066
43992,-0.056,0.112,1.085
44060,-0.059,-0.168,0.006
44113,-0.061,-0.189,-0.023
44140,-0.035,-0.166,-0.088
44177,-0.045,-0.073,0.023
44202,-0.062,-0.048,-0.028
44257,-0.083,-0.256,0.262
44300,0.117,1.913,-0.064
44328,-0.042,-0.133,-0.083
44355,-0.065,-0.210,-0.012
44391,-0.058,-0.073,-0.239
44435,-0.057,-0.171,-0.087
44462,-0.061,-0.192,0.000
44505,-0.087,-0.340,0.136
44532,-0.058,-0.152,-0.113
44560,0.089,0.580,0.939
44818,2.000,11.167,-2.491
44845,-0.094,-0.013,0.225
44863,-0.075,-0.198,0.064
44934,-0.069,-0.217,0.034
44989,-0.064,-0.195,0.004
45003,-0.005,0.040,0.153
45101,-0.118,-0.249,0.376
45245,-0.059,-0.178,-0.003
45334,-0.062,-0.192,0.001
45361,-0.064,-0.163,-0.043
45389,-0.045,-0.073,0.103
45496,-0.074,-0.320,-0.085
45539,-0.058,-0.149,-0.030
45619,-0.054,-0.108,-0.123
45673,-0.063,-0.356,0.258
45753,-0.059,-0.140,-0.037
45815,-0.089,-0.288,0.251
45888,-0.061,-0.194,-0.003
45959,-0.057,-0.179,-0.025
46019,-0.061,-0.327,-1.915
46108,-0.062,-0.211,0.022
46180,-0.051,-0.133,-0.101
46251,-0.065,-0.195,0.001
46313,-0.048,0.031,-0.125
46377,-0.061,-0.169,-0.030
46439,-0.060,-0.190,-0.007
46484,-0.039,0.130,0.003
46554,-0.063,-0.191,0.001
46769,-0.064,-0.381,0.311
46803,-0.050,-0.154,0.011
46830,-0.056,-0.174,0.006
46867,-0.070,-0.203,-0.121
46910,-0.069,-0.188,-0.009
47006,-0.071,-0.197,-0.077
47079,-0.022,0.006,-0.327
47159,-0.067,-0.211,-0.074
47186,-0.034,0.068,-0.105
47300,-0.058,-0.181,-0.014
47337,-0.046,-0.260,-0.038
47373,0.123,1.054,-0.113
47417,-0.061,-0.189,0.000
47453,0.208,0.872,0.568
47578,-0.062,-0.145,-0.016
47630,-0.080,-0.235,0.155
47774,-0.035,-0.028,0.005
47818,-0.061,-0.194,-0.002
47854,-0.078,-0.275,0.078
47916,-0.054,-0.115,-0.269
48021,-0.061,-0.194,-0.005
48138,-0.039,-0.057,-0.007
48165,-0.061,-0.194,0.002
48227,-0.061,-0.239,0.010
48325,-0.091,-0.294,0.583
48487,-0.092,-1.538,0.056
